Container,Timestamp,Value
mn.device-45,2026-07-02 09:24:22,0
mn.device-45,2026-07-02 09:24:37,0
mn.device-45,2026-07-02 09:24:52,0
mn.device-45,2026-07-02 09:25:07,0
mn.device-45,2026-07-02 09:25:22,0
mn.device-45,2026-07-02 09:25:37,0
mn.device-45,2026-07-02 09:25:52,0
mn.device-45,2026-07-02 09:26:07,0.010816251930667582
mn.device-45,2026-07-02 09:26:22,0.011684914285714287
mn.device-45,2026-07-02 09:26:37,0.012010341870280996
mn.device-45,2026-07-02 09:26:52,0.012454069319162233
mn.device-45,2026-07-02 09:27:07,0.002002721298007804
mn.device-45,2026-07-02 09:27:22,0.0014733532572080096
mn.device-45,2026-07-02 09:27:37,0.0011937207863623866
mn.device-45,2026-07-02 09:27:52,0.0013499550984834784
mn.device-45,2026-07-02 09:28:07,0.0014077773091522568
mn.device-45,2026-07-02 09:28:22,0.0016675542951998898
mn.device-45,2026-07-02 09:28:37,0.0015820690135692997
mn.device-45,2026-07-02 09:28:52,0.0017282037768994282
mn.device-45,2026-07-02 09:29:07,0.0015913054008234449
mn.device-45,2026-07-02 09:29:22,0.0016563002950643773
mn.device-45,2026-07-02 09:29:37,0.001567540014272605
mn.device-45,2026-07-02 09:29:52,0.0014652248668329828
mn.device-45,2026-07-02 09:30:07,0.0015008928571428543
mn.device-45,2026-07-02 09:30:22,0.0014489587657395854
mn.device-45,2026-07-02 09:30:37,0.0014878394741394219
mn.device-45,2026-07-02 09:30:52,0.0017191436847608082
mn.device-45,2026-07-02 09:31:07,0.0017211257373164262
mn.device-45,2026-07-02 09:31:22,0.0015534099826003897
mn.device-45,2026-07-02 09:31:37,0.001610504428967474
mn.device-45,2026-07-02 09:31:52,0.0015088696799277935
mn.device-45,2026-07-02 09:32:07,0.0016829129496041643
mn.device-45,2026-07-02 09:32:22,0.002004565202633902
mn.device-45,2026-07-02 09:32:37,0.0018211333207294254
mn.device-45,2026-07-02 09:32:52,0.0018352307276535387
mn.device-45,2026-07-02 09:33:07,0.0015680488046320368
mn.device-45,2026-07-02 09:33:22,0.0011871151517219012
mn.device-45,2026-07-02 09:33:37,0.0013571331011404738
mn.device-45,2026-07-02 09:33:52,0.0012489867719848908
mn.device-45,2026-07-02 09:34:07,0.001096877777777777
mn.device-34,2026-07-02 09:24:22,0
mn.device-34,2026-07-02 09:24:37,0
mn.device-34,2026-07-02 09:24:52,0
mn.device-34,2026-07-02 09:25:07,0
mn.device-34,2026-07-02 09:25:22,0
mn.device-34,2026-07-02 09:25:37,0
mn.device-34,2026-07-02 09:25:52,0
mn.device-34,2026-07-02 09:26:07,0.00752826750797159
mn.device-34,2026-07-02 09:26:22,0.007930070867328989
mn.device-34,2026-07-02 09:26:37,0.008552615988760814
mn.device-34,2026-07-02 09:26:52,0.00885245032705371
mn.device-34,2026-07-02 09:27:07,0.001741655815228566
mn.device-34,2026-07-02 09:27:22,0.0014487359304323445
mn.device-34,2026-07-02 09:27:37,0.0013681313956488094
mn.device-34,2026-07-02 09:27:52,0.0011448783783783779
mn.device-34,2026-07-02 09:28:07,0.0012612919224914906
mn.device-34,2026-07-02 09:28:22,0.001275665912697073
mn.device-34,2026-07-02 09:28:37,0.0012772831780386198
mn.device-34,2026-07-02 09:28:52,0.0013209767378587942
mn.device-34,2026-07-02 09:29:07,0.0013049508926330578
mn.device-34,2026-07-02 09:29:22,0.0012806073320035757
mn.device-34,2026-07-02 09:29:37,0.001326981590712063
mn.device-34,2026-07-02 09:29:52,0.00127275254060627
mn.device-34,2026-07-02 09:30:07,0.0012025322988525524
mn.device-34,2026-07-02 09:30:22,0.001268079226748377
mn.device-34,2026-07-02 09:30:37,0.0013037172747975276
mn.device-34,2026-07-02 09:30:52,0.0013829110695459954
mn.device-34,2026-07-02 09:31:07,0.001385042215409909
mn.device-34,2026-07-02 09:31:22,0.001446318710712852
mn.device-34,2026-07-02 09:31:37,0.0014153838704687035
mn.device-34,2026-07-02 09:31:52,0.0016237833920066274
mn.device-34,2026-07-02 09:32:07,0.0016909040879151134
mn.device-34,2026-07-02 09:32:22,0.0015900285533537379
mn.device-34,2026-07-02 09:32:37,0.0015929720831793582
mn.device-34,2026-07-02 09:32:52,0.0011725203890389788
mn.device-34,2026-07-02 09:33:07,0.0012237054046898969
mn.device-34,2026-07-02 09:33:22,0.0013578184328615825
mn.device-34,2026-07-02 09:33:37,0.0013625619261789228
mn.device-34,2026-07-02 09:33:52,0.0014809379623576381
mn.device-34,2026-07-02 09:34:07,0.0012907984375000016
mn.device-8,2026-07-02 09:24:22,0
mn.device-8,2026-07-02 09:24:37,0
mn.device-8,2026-07-02 09:24:52,0
mn.device-8,2026-07-02 09:25:07,0
mn.device-8,2026-07-02 09:25:22,0
mn.device-8,2026-07-02 09:25:37,0
mn.device-8,2026-07-02 09:25:52,0.008076477126977342
mn.device-8,2026-07-02 09:26:07,0.008322247413190596
mn.device-8,2026-07-02 09:26:22,0.008809575400877708
mn.device-8,2026-07-02 09:26:37,0.0016831708700809742
mn.device-8,2026-07-02 09:26:52,0.0011414188488932482
mn.device-8,2026-07-02 09:27:07,0.0013113815696773274
mn.device-8,2026-07-02 09:27:22,0.001368979978354979
mn.device-8,2026-07-02 09:27:37,0.0013773258107111633
mn.device-8,2026-07-02 09:27:52,0.0014476123650631013
mn.device-8,2026-07-02 09:28:07,0.001474151979973453
mn.device-8,2026-07-02 09:28:22,0.0014828864705276543
mn.device-8,2026-07-02 09:28:37,0.0017235945918471077
mn.device-8,2026-07-02 09:28:52,0.001784691620514051
mn.device-8,2026-07-02 09:29:07,0.0017814922565022734
