Container,Timestamp,Value
mn.device-45,2026-07-02 09:24:22,1609728
mn.device-45,2026-07-02 09:24:37,1609728
mn.device-45,2026-07-02 09:24:52,1609728
mn.device-45,2026-07-02 09:25:07,1609728
mn.device-45,2026-07-02 09:25:22,1609728
mn.device-45,2026-07-02 09:25:37,1609728
mn.device-45,2026-07-02 09:25:52,1609728
mn.device-45,2026-07-02 09:26:07,21843968
mn.device-45,2026-07-02 09:26:22,22183936
mn.device-45,2026-07-02 09:26:37,22183936
mn.device-45,2026-07-02 09:26:52,22183936
mn.device-45,2026-07-02 09:27:07,22126592
mn.device-45,2026-07-02 09:27:22,22130688
mn.device-45,2026-07-02 09:27:37,22134784
mn.device-45,2026-07-02 09:27:52,22155264
mn.device-45,2026-07-02 09:28:07,22155264
mn.device-45,2026-07-02 09:28:22,22155264
mn.device-45,2026-07-02 09:28:37,22155264
mn.device-45,2026-07-02 09:28:52,22155264
mn.device-45,2026-07-02 09:29:07,22155264
mn.device-45,2026-07-02 09:29:22,22159360
mn.device-45,2026-07-02 09:29:37,22159360
mn.device-45,2026-07-02 09:29:52,22159360
mn.device-45,2026-07-02 09:30:07,22159360
mn.device-45,2026-07-02 09:30:22,22159360
mn.device-45,2026-07-02 09:30:37,22159360
mn.device-45,2026-07-02 09:30:52,22159360
mn.device-45,2026-07-02 09:31:07,22163456
mn.device-45,2026-07-02 09:31:22,22163456
mn.device-45,2026-07-02 09:31:37,22167552
mn.device-45,2026-07-02 09:31:52,22167552
mn.device-45,2026-07-02 09:32:07,22167552
mn.device-45,2026-07-02 09:32:22,22159360
mn.device-45,2026-07-02 09:32:37,22167552
mn.device-45,2026-07-02 09:32:52,22155264
mn.device-45,2026-07-02 09:33:07,22155264
mn.device-45,2026-07-02 09:33:22,22151168
mn.device-45,2026-07-02 09:33:37,22151168
mn.device-45,2026-07-02 09:33:52,22142976
mn.device-45,2026-07-02 09:34:07,22142976
mn.device-34,2026-07-02 09:24:22,1605632
mn.device-34,2026-07-02 09:24:37,1605632
mn.device-34,2026-07-02 09:24:52,1605632
mn.device-34,2026-07-02 09:25:07,1605632
mn.device-34,2026-07-02 09:25:22,1605632
mn.device-34,2026-07-02 09:25:37,1605632
mn.device-34,2026-07-02 09:25:52,1605632
mn.device-34,2026-07-02 09:26:07,22257664
mn.device-34,2026-07-02 09:26:22,22257664
mn.device-34,2026-07-02 09:26:37,22257664
mn.device-34,2026-07-02 09:26:52,22257664
mn.device-34,2026-07-02 09:27:07,22200320
mn.device-34,2026-07-02 09:27:22,22196224
mn.device-34,2026-07-02 09:27:37,22224896
mn.device-34,2026-07-02 09:27:52,22224896
mn.device-34,2026-07-02 09:28:07,22224896
mn.device-34,2026-07-02 09:28:22,22224896
mn.device-34,2026-07-02 09:28:37,22224896
mn.device-34,2026-07-02 09:28:52,22224896
mn.device-34,2026-07-02 09:29:07,22224896
mn.device-34,2026-07-02 09:29:22,22228992
mn.device-34,2026-07-02 09:29:37,22228992
mn.device-34,2026-07-02 09:29:52,22228992
mn.device-34,2026-07-02 09:30:07,22228992
mn.device-34,2026-07-02 09:30:22,22228992
mn.device-34,2026-07-02 09:30:37,22228992
mn.device-34,2026-07-02 09:30:52,22233088
mn.device-34,2026-07-02 09:31:07,22233088
mn.device-34,2026-07-02 09:31:22,22233088
mn.device-34,2026-07-02 09:31:37,22753280
mn.device-34,2026-07-02 09:31:52,22233088
mn.device-34,2026-07-02 09:32:07,22233088
mn.device-34,2026-07-02 09:32:22,22224896
mn.device-34,2026-07-02 09:32:37,22233088
mn.device-34,2026-07-02 09:32:52,22220800
mn.device-34,2026-07-02 09:33:07,22478848
mn.device-34,2026-07-02 09:33:22,22216704
mn.device-34,2026-07-02 09:33:37,22212608
mn.device-34,2026-07-02 09:33:52,22208512
mn.device-34,2026-07-02 09:34:07,22212608
mn.device-8,2026-07-02 09:24:22,1593344
mn.device-8,2026-07-02 09:24:37,1593344
mn.device-8,2026-07-02 09:24:52,1593344
mn.device-8,2026-07-02 09:25:07,1593344
mn.device-8,2026-07-02 09:25:22,1593344
mn.device-8,2026-07-02 09:25:37,1593344
mn.device-8,2026-07-02 09:25:52,22183936
mn.device-8,2026-07-02 09:26:07,22183936
mn.device-8,2026-07-02 09:26:22,22183936
mn.device-8,2026-07-02 09:26:37,22188032
mn.device-8,2026-07-02 09:26:52,22192128
mn.device-8,2026-07-02 09:27:07,22126592
mn.device-8,2026-07-02 09:27:22,22126592
mn.device-8,2026-07-02 09:27:37,22126592
mn.device-8,2026-07-02 09:27:52,22151168
mn.device-8,2026-07-02 09:28:07,22151168
mn.device-8,2026-07-02 09:28:22,22151168
mn.device-8,2026-07-02 09:28:37,22151168
mn.device-8,2026-07-02 09:28:52,22151168
mn.device-8,2026-07-02 09:29:07,22151168
mn.device-8,2026-07-02 09:29:22,22151168
mn.device-8,2026-07-02 09:29:37,22151168
mn.device-8,2026-07-02 09:29:52,22151168
mn.device-8,2026-07-02 09:30:07,22155264
mn.device-8,2026-07-02 09:30:22,22155264
mn.device-8,2026-07-02 09:30:37,22155264
mn.device-8,2026-07-02 09:30:52,22155264
mn.device-8,2026-07-02 09:31:07,22155264
mn.device-8,2026-07-02 09:31:22,22155264
